[LAST,FIRST NFL POS,BYE]
Crabtree,Tom FA TE,0
Cribbs,Josh FA WR,0
Criner,Juron OAK WR,5
Crosby,Mason GBP PK,9
Crowell,Isaiah CLE RB,4
Cruz,Victor NYG WR,8
Cumberland,Jeff NYJ TE,11
Cundiff,Billy CLE PK,4
Cunningham,BJ PHI WR,7
Cunningham,Benny STL RB,4
Cunningham,Justice STL TE,4
Cutler,Jay CHI QB,9
Dalton,Andy CIN QB,4
Daniel,Chase KCC QB,6
Daniels,BJ SEA QB,4
Daniels,Owen BAL TE,11
Davis,Austin STL QB,4
Davis,Dominique FA QB,0
Davis,Drew ATL WR,9
Davis,Fred FA TE,0
Davis,Kellen NYG TE,8
Davis,Knile KCC RB,6
Davis,Marcus FA WR,0
Davis,Mike OAK WR,5
Davis,Vernon SFO TE,8
Dawson,Phil SFO PK,8
Dawson,Skye TBB WR,7
DePalma,Dan FA WR,0
Decker,Eric NYJ WR,11
Demps,Jeff TBB RB,7
Develin,James NEP RB,10
Devlin,Pat FA QB,0
DiMarco,Patrick ATL RB,9
Dickerson,Dorin FA TE,0
Dickson,Ed CAR TE,12
Dimke,Derek NOS PK,6
Dixon,Anthony BUF RB,9
Dixon,Chase FA TE,0
Dixon,Dennis BUF QB,9
Dobson,Aaron NEP WR,10
Dolphins,Miami MIA Def,5
Donnell,Larry NYG TE,8
Dorsey,Kevin GBP WR,9
Doss,Tandon JAC WR,11
Douglas,Harry ATL WR,9
Doyle,Jack IND TE,10
Draughn,Shaun CHI RB,9
Dray,Jim CLE TE,4
Dreessen,Joel FA TE,0
Dressler,Weston KCC WR,6
Dunbar,Lance DAL RB,11
Durham,Kris DET WR,9
Dwyer,Jonathan ARI RB,4
Dysert,Zac DEN QB,4
Eagles,Philadelphia PHI Def,7
Easley,Marcus BUF WR,9
Ebert,Jeremy ATL WR,9
Ebron,Eric DET TE,9
Edelman,Julian NEP WR,10
Edwards,Armanti CHI WR,9
Edwards,Lavar TEN LB,9
Edwards,Patrick DET WR,9
Egnew,Michael MIA TE,5
Eifert,Tyler CIN TE,4
Ellington,Andre ARI RB,4
Ellington,Bruce SFO WR,8
Elliott,Kevin FA WR,0
Ellison,Rhett MIN TE,10
Enunwa,Quincy NYJ WR,11
Ertz,Zach PHI TE,7
Escobar,Gavin DAL TE,11
Evans,Mike TBB WR,7
Evans,Shaq NYJ WR,11
Ewing,Bradie JAC RB,11
Falcons,Atlanta ATL Def,9
Fales,David CHI QB,9
Fasano,Anthony KCC TE,6
Faulkner,Kory FA QB,0
Fauria,Joseph DET TE,9
Feely,Jay ARI PK,4
Fells,Daniel NYG TE,8
Fells,Darren ARI TE,4
Felton,Jerome MIN RB,10
Fiammetta,Tony CHI RB,9
Fiedorowicz,CJ HOU TE,10
Finch,Roy NEP RB,10
Finley,Jermichael FA* TE,0
Fitzgerald,Larry ARI WR,4
Fitzpatrick,Ryan HOU QB,10
Flacco,Joe BAL QB,11
Flanders,Tim NOS RB,6
Fleener,Coby IND TE,10
Floyd,Malcom SDC WR,10
Floyd,Michael ARI WR,4
Fluellen,David IND RB,10
Flynn,Matt GBP QB,9
Fokou,Moise TEN LB,9
Foles,Nick PHI QB,7
Folk,Nick NYJ PK,11
Forbath,Kai WAS PK,10
Ford,Chase MIN TE,10
Ford,Jacoby NYJ WR,11
Ford,Michael CHI RB,9
Forsett,Justin BAL RB,11
Forte,Matt CHI RB,9
Foster,Arian HOU RB,10
Fowler,Bennie DEN WR,4
Franklin,James DET QB,9
Franklin,Johnathan FA RB,0
Freeman,Devonta ATL RB,9
Freeman,Josh FA QB,0
Freese,Nate DET PK,9
Fuller,Corey DET WR,9
Furstenburg,Matt FA TE,0
Gabbert,Blaine SFO QB,8
Gaffney,Tyler NEP RB,10
Gallon,Jeremy NEP WR,10
Ganaway,Terrance FA RB,0
Gano,Graham CAR PK,12
Garcon,Pierre WAS WR,10
Garoppolo,Jimmy NEP QB,10
Gaskins,Kendall NYG RB,8
Gates,Antonio SDC TE,10
Gates,Clyde NYJ WR,11
Gerhart,Toby JAC RB,11
Gettis,David FA WR,0
Giants,New York NYG Def,8
Gibson,Brandon MIA WR,5
Gilbert,Garrett STL QB,4
Gillislee,Mike MIA RB,5
Gillmore,Crockett BAL TE,11
Ginn Jr,Ted ARI WR,4
Givens,Chris STL WR,4
Glennon,Mike TBB QB,7
Golden,Brittan ARI WR,4
Gonzalez,Tony FA TE,0
Gooden,Zaviar TEN LB,9
Goodson,Mike FA RB,0
Goodwin,Marquise BUF WR,9
Gordon,Josh CLE WR,4
Gordon,Richard KCC TE,6
Gore,Frank SFO RB,8
Gostkowski,Stephen NEP PK,10
Gould,Robbie CHI PK,9
Gradkowski,Bruce PIT QB,12
Gragg,Chris BUF TE,9
Graham,Garrett HOU TE,10
Graham,Jimmy NOS TE,6
Graham,Ray FA RB,0
Graham,Shayne NOS PK,6
Graham,TJ BUF WR,9
Grant,Ryan WAS WR,10
Gray,Cyrus KCC RB,6
Gray,Jonas NEP RB,10
Gray,MarQueis CLE TE,4
Green,AJ CIN WR,4
Green,Alex NYJ RB,11
Green,Ladarius SDC TE,10
Green,Virgil DEN TE,4
Green-Ellis,BenJarvus CIN RB,4
Greene,Shonn TEN RB,9
Gresham,Jermaine CIN TE,4
Grice,Marion SDC RB,10
Griffin III,Robert WAS QB,10
Griffin,Michael TEN S,9
Griffin,Ryan HOU TE,10
Griffin,Ryan NOS QB,6
Grimble,Xavier NYG TE,8
Grimes,Jonathan HOU RB,10
Gronkowski,Chris FA RB,0
Gronkowski,Rob NEP TE,10
Grossman,Rex CLE QB,4
Gurley,Tori BUF WR,9
Hakim,Saalim NYJ WR,11
Hall,Chad FA WR,0
Hamilton,Cobi CIN WR,4
Hamm,JeRon NOS TE,6
Hammond,Frankie KCC WR,6
Hampton,Jewel SFO RB,8
Hanie,Caleb DAL QB,11
Hankerson,Leonard WAS WR,10
Hanna,James DAL TE,11
Harbor,Clay JAC TE,11
Hardesty,Montario FA RB,0
